,open_time,liquidation_long,liquidation_short,oi,top_ls_account,top_ls_position,global_ls_account,buy_sell_ratio,closeprice,mark_closeprice,volume,number
953,1645723800,5234,0,2729047374,1.2292,1.0363,1.1173,1.0707,35815.1,35810.0,8027.554,79679.0
954,1645725600,21525,0,2717182121,1.2202,1.04,1.1035,1.1885,35785.4,35790.40968576,9531.236,76355.0
955,1645727400,2480974,3742319,2734573195,1.2178,1.0605,1.1035,1.3616,36372.6,36374.6,30279.325,239548.0
956,1645729200,776466,26065,2752676913,1.2017,1.0753,1.1195,1.1462,36596.9,36600.1,20471.217,176958.0
957,1645731000,2860694,1567412,2742435534,1.1935,1.0851,1.1151,1.3002,37272.3,37289.45869365,30279.406,257941.0
958,1645732800,772056,322305,2776137703,1.2257,1.0784,1.1829,0.8218,38352.5,38348.11535273,77079.209,605386.0
959,1645734600,0,3101,2655997726,1.3691,1.0907,1.4207,1.1339,38412.7,38371.48762551,24293.781,201333.0
960,1645736400,0,15066,2593095097,1.3452,1.0939,1.3691,1.2577,38375.2,38381.6,12503.361,110855.0
961,1645738200,6722,0,2590204542,1.3089,1.1067,1.3288,1.2245,38384.1,38389.04076227,9553.468,95173.0
962,1645740000,0,1984,2582053369,1.3191,1.1158,1.3419,1.0934,38204.9,38219.45590921,5866.318,66099.0
963,1645741800,54299,1387107,2561021727,1.3127,1.1225,1.3288,0.88,37862.3,37863.6,12607.28,139420.0
964,1645743600,106333,21591,2526552112,1.2139,1.1398,1.1734,1.5207,38215.2,38213.7,9937.803,95941.0
965,1645745400,35,1296,2549718870,1.2406,1.1386,1.2242,1.2465,38315.1,38315.54974507,5260.919,58536.0
966,1645747200,10125,0,2561773939,1.2492,1.14,1.2306,1.316,38673.7,38660.60075756,10173.476,96644.0
967,1645749000,8175,0,2572256201,1.3441,1.1101,1.3052,0.8815,38211.9,38219.0302432,7452.048,72270.0
968,1645750800,126356,625009,2539866905,1.2973,1.1045,1.2331,1.2626,38612.5,38619.5,12121.175,114623.0
969,1645752600,0,0,2557808052,1.3191,1.0947,1.2671,0.9369,38547.8,38557.2,6849.816,65812.0
970,1645754400,13555,0,2560967720,1.3375,1.0879,1.2852,0.9817,38660.9,38668.2,5700.606,61066.0
971,1645756200,15871,58,2591420561,1.3256,1.0819,1.2701,1.0339,38779.7,38780.90478494,4565.426,51502.0
972,1645758000,648,0,2606365448,1.3202,1.0794,1.2696,0.8751,38540.6,38543.67265296,5667.875,58397.0
973,1645759800,1488095,0,2589272542,1.2904,1.0802,1.2267,1.2752,38899.4,38904.8190235,8957.319,86732.0
974,1645761600,2497,0,2630801403,1.2836,1.078,1.2326,0.8895,38768.9,38769.9,4644.126,52613.0
975,1645763400,1321,0,2620004088,1.2707,1.0713,1.2095,0.9353,38703.8,38703.7,4961.171,52428.0
976,1645765200,0,15828,2617443828,1.2722,1.0673,1.2031,0.9739,38485.9,38486.0,9259.684,92474.0
977,1645767000,0,0,2603107264,1.2411,1.0754,1.1445,1.0324,38438.9,38434.9,3599.192,39884.0
978,1645768800,3529,0,2609436836,1.2188,1.0772,1.1177,1.1362,38568.4,38568.4,5847.003,61169.0
979,1645770600,3102,0,2622064999,1.2232,1.0754,1.1213,1.1806,38695.4,38693.4,4043.603,45877.0
980,1645772400,108722,0,2633463750,1.2262,1.0767,1.1281,0.9137,38520.8,38520.9,5815.612,64534.0
981,1645774200,0,0,2630641260,1.2316,1.0765,1.1322,0.9974,38462.5,38469.2,5448.683,70865.0
982,1645776000,0,1580293,2634969781,1.2321,1.0834,1.1317,0.8308,38313.3,38314.40550658,10945.849,115503.0
983,1645777800,0,0,2652400014,1.2129,1.0869,1.0925,1.1032,38328.9,38337.14459061,5142.722,60648.0
984,1645779600,0,12232,2655873318,1.2173,1.0885,1.0978,0.8304,38044.0,38048.9,8747.789,90544.0
985,1645781400,0,3116,2649134335,1.1968,1.0855,1.0602,1.585,38656.3,38662.8,11196.743,113936.0
986,1645783200,0,0,2677928408,1.2036,1.085,1.0872,0.9555,38617.6,38622.32887559,8567.285,91974.0
987,1645785000,0,0,2681316174,1.1772,1.0909,1.0547,0.9464,38564.4,38563.7,4941.131,57156.0
